,Entity,Code,Share of consumer expenditure on food (USDA (2017)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Year
0,Algeria,DZA,43.0,11696.9501953125,39543148.0,2015
1,Algeria,DZA,37.0,11826.1513671875,40339328.0,2016
2,Argentina,ARG,20.0,23933.88671875,43257064.0,2015
3,Argentina,ARG,28.0,23189.52734375,43668236.0,2016
4,Australia,AUS,10.0,47569.29296875,23820240.0,2015
5,Australia,AUS,10.0,48116.03125,24195706.0,2016
6,Austria,AUT,10.0,52873.859375,8642422.0,2015
7,Austria,AUT,10.0,53345.7421875,8736491.0,2016
8,Azerbaijan,AZE,40.0,14852.611328125,9863485.0,2015
9,Azerbaijan,AZE,39.0,14232.1923828125,9976254.0,2016
10,Bahrain,BHR,13.0,48110.734375,1362157.0,2015
11,Bahrain,BHR,13.0,47937.7109375,1409668.0,2016
12,Belarus,BLR,36.0,18362.74609375,9700609.0,2015
13,Belarus,BLR,36.0,17883.126953125,9708111.0,2016
14,Belgium,BEL,13.0,49456.3984375,11248306.0,2015
15,Belgium,BEL,13.0,49829.92578125,11316837.0,2016
16,Bolivia,BOL,29.0,7984.412109375,11090090.0,2015
17,Bolivia,BOL,29.0,8202.5439453125,11263016.0,2016
18,Bosnia and Herzegovina,BIH,31.0,12630.6669921875,3524328.0,2015
19,Bosnia and Herzegovina,BIH,31.0,13194.3310546875,3480985.0,2016
20,Brazil,BRA,16.0,15064.17578125,205188208.0,2015
21,Brazil,BRA,16.0,14451.1533203125,206859584.0,2016
22,Bulgaria,BGR,18.0,19988.224609375,7309255.0,2015
23,Bulgaria,BGR,19.0,20740.794921875,7245982.0,2016
24,Cameroon,CMR,46.0,3570.42456054688,23012650.0,2015
25,Cameroon,CMR,45.0,3634.38110351563,23711626.0,2016
26,Canada,CAN,9.0,47522.140625,35732120.0,2015
27,Canada,CAN,9.0,47457.5859375,36113532.0,2016
28,Chile,CHL,15.0,24440.416015625,17870122.0,2015
29,Chile,CHL,16.0,24531.357421875,18083880.0,2016
30,China,CHN,25.0,12612.3515625,1393715456.0,2015
31,China,CHN,22.0,13399.1376953125,1401889664.0,2016
32,Colombia,COL,17.0,14095.748046875,47119728.0,2015
33,Colombia,COL,17.0,14194.515625,47625960.0,2016
34,Costa Rica,CRI,20.0,19141.68359375,4895241.0,2015
35,Costa Rica,CRI,26.0,19736.666015625,4945205.0,2016
36,Croatia,HRV,31.0,24884.666015625,4254821.0,2015
37,Croatia,HRV,24.0,25944.2578125,4223748.0,2016
38,Czechia,CZE,16.0,36168.41796875,10523801.0,2015
39,Czechia,CZE,17.0,37014.9609375,10527584.0,2016
40,Denmark,DNK,11.0,52892.64453125,5677795.0,2015
41,Denmark,DNK,11.0,54185.0078125,5706856.0,2016
42,Dominican Republic,DOM,23.0,15328.359375,10405832.0,2015
43,Dominican Republic,DOM,27.0,16166.611328125,10527589.0,2016
44,Ecuador,ECU,23.0,11896.375,16195904.0,2015
45,Ecuador,ECU,22.0,11551.6162109375,16439588.0,2016
46,Egypt,EGY,35.0,10570.4453125,97723792.0,2015
47,Egypt,EGY,37.0,10795.80859375,99784032.0,2016
48,Estonia,EST,20.0,31038.8046875,1314658.0,2015
49,Estonia,EST,21.0,32008.93359375,1315928.0,2016
50,Finland,FIN,13.0,45072.58984375,5479457.0,2015
51,Finland,FIN,12.0,46206.7890625,5495217.0,2016
52,France,FRA,13.0,43345.78515625,63809768.0,2015
53,France,FRA,13.0,43705.1484375,63989320.0,2016
54,Georgia,GEO,32.0,12605.1396484375,3771135.0,2015
55,Georgia,GEO,31.0,12963.744140625,3771112.0,2016
56,Germany,DEU,10.0,51159.296875,82073232.0,2015
57,Germany,DEU,11.0,51879.671875,82331432.0,2016
58,Greece,GRC,17.0,28260.38671875,10806644.0,2015
59,Greece,GRC,17.0,28239.919921875,10749742.0,2016
60,Guatemala,GTM,41.0,8125.65576171875,16001105.0,2015
61,Guatemala,GTM,41.0,8206.0478515625,16291004.0,2016
62,Hong Kong,HKG,14.0,57215.94921875,7399845.0,2015
63,Hong Kong,HKG,14.0,58096.30078125,7435925.0,2016
64,Hungary,HUN,19.0,27531.64453125,9844250.0,2015
65,Hungary,HUN,18.0,28218.279296875,9815106.0,2016
66,India,IND,31.0,5464.39404296875,1322866560.0,2015
67,India,IND,30.0,5851.39501953125,1338636288.0,2016
68,Indonesia,IDN,33.0,10149.603515625,259091968.0,2015
69,Indonesia,IDN,31.0,10531.111328125,261850176.0,2016
70,Iran,IRN,24.0,12698.109375,81790848.0,2015
71,Iran,IRN,24.0,14205.2119140625,83306232.0,2016
72,Ireland,IRL,10.0,71508.734375,4665764.0,2015
73,Ireland,IRL,9.0,72150.0390625,4715791.0,2016
74,Israel,ISR,15.0,37306.1328125,8007777.0,2015
75,Israel,ISR,16.0,38214.484375,8159015.0,2016
76,Italy,ITA,14.0,40247.828125,60232908.0,2015
77,Italy,ITA,14.0,40837.73828125,60118628.0,2016
78,Japan,JPN,14.0,40402.58203125,127250936.0,2015
79,Japan,JPN,14.0,40754.1015625,126993856.0,2016
80,Jordan,JOR,38.0,10145.8369140625,9494250.0,2015
81,Jordan,JOR,30.0,10036.5439453125,9964659.0,2016
82,Kazakhstan,KAZ,43.0,24290.41796875,17835908.0,2015
83,Kazakhstan,KAZ,43.0,24210.86328125,18078558.0,2016
84,Kenya,KEN,47.0,4075.501953125,46851496.0,2015
85,Kenya,KEN,52.0,4145.640625,47894668.0,2016
86,Kuwait,KWT,18.0,54834.390625,3908745.0,2015
87,Kuwait,KWT,18.0,54708.98046875,4048090.0,2016
88,Latvia,LVA,20.0,26628.458984375,1991951.0,2015
89,Latvia,LVA,19.0,27509.173828125,1973477.0,2016
90,Lithuania,LTU,23.0,30748.197265625,2963764.0,2015
91,Lithuania,LTU,23.0,31925.802734375,2933676.0,2016
92,Malaysia,MYS,21.0,24787.82421875,31068834.0,2015
93,Malaysia,MYS,21.0,25541.771484375,31526414.0,2016
94,Mexico,MEX,23.0,19268.9140625,120149896.0,2015
95,Mexico,MEX,23.0,19539.26171875,121519224.0,2016
96,Montenegro,MNE,19.0,18263.58984375,633969.0,2015
97,Montenegro,MNE,18.0,18797.8828125,633264.0,2016
98,Morocco,MAR,35.0,7126.2841796875,34680456.0,2015
99,Morocco,MAR,35.0,7105.85595703125,35107272.0,2016
100,Netherlands,NLD,12.0,52974.1171875,17041110.0,2015
101,Netherlands,NLD,12.0,53847.828125,17124512.0,2016
102,New Zealand,NZL,15.0,41086.1171875,4590591.0,2015
103,New Zealand,NZL,14.0,41672.1015625,4668088.0,2016
104,Nigeria,NGA,56.0,5514.7705078125,183995776.0,2015
105,Nigeria,NGA,59.0,5284.89306640625,188666928.0,2016
106,North Macedonia,MKD,32.0,15139.251953125,2107965.0,2015
107,North Macedonia,MKD,32.0,15553.439453125,2110194.0,2016
108,Norway,NOR,12.0,62987.515625,5190357.0,2015
109,Norway,NOR,12.0,63104.08203125,5236591.0,2016
110,Pakistan,PAK,41.0,4278.3466796875,210969296.0,2015
111,Pakistan,PAK,42.0,4421.58203125,213524848.0,2016
112,Peru,PER,36.0,12110.2666015625,30711864.0,2015
113,Peru,PER,26.0,12403.6875,31132776.0,2016
114,Philippines,PHL,42.0,7300.13623046875,103031360.0,2015
115,Philippines,PHL,42.0,7705.0537109375,104875272.0,2016
116,Poland,POL,17.0,27797.05859375,38553148.0,2015
117,Poland,POL,17.0,28682.693359375,38532108.0,2016
118,Portugal,PRT,17.0,31118.791015625,10365436.0,2015
119,Portugal,PRT,17.0,31847.537109375,10332751.0,2016
120,Qatar,QAT,12.0,95965.25,2414580.0,2015
121,Qatar,QAT,12.0,95601.8046875,2595175.0,2016
122,Romania,ROU,28.0,23878.171875,19906078.0,2015
123,Romania,ROU,30.0,25144.99609375,19797820.0,2016
124,Russia,RUS,28.0,25488.095703125,144668384.0,2015
125,Russia,RUS,30.0,25490.708984375,145109152.0,2016
126,Saudi Arabia,SAU,25.0,48921.21484375,32749838.0,2015
127,Saudi Arabia,SAU,21.0,48625.84375,33416272.0,2016
128,Serbia,SRB,25.0,15578.208984375,7519501.0,2015
129,Serbia,SRB,24.0,16182.828125,7493288.0,2016
130,Singapore,SGP,7.0,89519.734375,5650020.0,2015
131,Singapore,SGP,7.0,91307.5,5711936.0,2016
132,Slovakia,SVK,18.0,28719.86328125,5424449.0,2015
133,Slovakia,SVK,18.0,29236.921875,5431205.0,2016
134,Slovenia,SVN,15.0,33799.7265625,2080865.0,2015
135,Slovenia,SVN,15.0,34853.04296875,2090020.0,2016
136,South Africa,ZAF,19.0,14010.1044921875,55876504.0,2015
137,South Africa,ZAF,19.0,13897.1396484375,56422272.0,2016
138,South Korea,KOR,13.0,38828.7421875,50994396.0,2015
139,South Korea,KOR,13.0,39814.66015625,51309984.0,2016
140,Spain,ESP,13.0,37377.06640625,46431344.0,2015
141,Spain,ESP,14.0,38477.578125,46473320.0,2016
142,Sweden,SWE,13.0,50928.96484375,9849344.0,2015
143,Sweden,SWE,13.0,51334.43359375,9953322.0,2016
144,Switzerland,CHE,9.0,68025.921875,8281735.0,2015
145,Switzerland,CHE,9.0,68663.2421875,8372902.0,2016
146,Thailand,THA,26.0,16285.38671875,70294408.0,2015
147,Thailand,THA,26.0,16782.099609375,70607032.0,2016
148,Tunisia,TUN,22.0,11112.853515625,11557779.0,2015
149,Tunisia,TUN,22.0,11113.7744140625,11685666.0,2016
150,Turkey,TUR,22.0,25958.640625,79646176.0,2015
151,Turkey,TUR,21.0,26385.001953125,81019400.0,2016
152,Turkmenistan,TKM,38.0,12993.5322265625,5766427.0,2015
153,Turkmenistan,TKM,38.0,13562.5283203125,5868568.0,2016
154,Ukraine,UKR,38.0,11216.1181640625,44982568.0,2015
155,Ukraine,UKR,38.0,11536.31640625,44833568.0,2016
156,United Arab Emirates,ARE,14.0,65267.4140625,8916909.0,2015
157,United Arab Emirates,ARE,14.0,66510.890625,8994266.0,2016
158,United Kingdom,GBR,8.0,45041.05859375,65224368.0,2015
159,United Kingdom,GBR,8.0,45712.78515625,65655204.0,2016
160,United States,USA,6.0,58540.296875,324607776.0,2015
161,United States,USA,6.0,59112.2421875,327210208.0,2016
162,Uruguay,URY,18.0,22425.830078125,3402820.0,2015
163,Uruguay,URY,19.0,22724.021484375,3413768.0,2016
164,Uzbekistan,UZB,31.0,6401.115234375,30949416.0,2015
165,Uzbekistan,UZB,30.0,6663.94970703125,31453576.0,2016
166,Vietnam,VNM,35.0,6438.259765625,92191400.0,2015
167,Vietnam,VNM,39.0,6767.77880859375,93126528.0,2016