Disticts,Proportion of people claiming unemployment benefits,Obesity Admissions per 100k of population,Gross Disposable Household Income per head,Average Happiness Rating
Barking and Dagenham, 6.60 ,24,19234,7.22
Barnet, 4.40 ,21,27455,7.42
Barnsley, 3.30 ,28,15552,7.26
Bath and North East Somerset, 1.70 ,11,21955,7.54
Bedford, 4.00 ,17,20136,7.33
Bexley, 3.10 ,43,20766,7.24
Birmingham, 8.40 ,32,14093,7.2
Blackburn with Darwen, 5.30 ,25,12450,7.3
Blackpool, 6.80 ,15,14795,7.31
Bolton, 5.70 ,19,15260,7.32
Bracknell Forest, 2.10 ,13,23733,7.28
Bradford, 6.70 ,11,14444,7.34
Brent, 6.70 ,34,23580,7.31
Brentwood, 2.40 ,18,22940,7.19
Brighton and Hove, 3.80 ,20,20508,7.29
Bristol. City of, 3.40 ,27,17633,7.17
Bromley, 2.90 ,9,27169,7.48
Bury, 4.50 ,29,15637,7.41
Calderdale, 3.80 ,12,16060,7.44
Camden, 3.50 ,12,44892,7.21
Central Bedfordshire, 2.10 ,7,20719,7.49
Cheshire East, 2.40 ,10,22025,7.61
Cheshire West and Chester, 2.70 ,16,19372,7.4
Cornwall, 2.70 ,53,17018,7.5
County Durham, 3.30 ,21,15221,7.16
Coventry, 4.70 ,29,14175,7.35
Croydon, 5.70 ,15,21766,7.18
Derby, 4.70 ,13,15078,7.45
Doncaster, 4.40 ,17,15595,7.35
Dudley, 4.80 ,39,15878,7.24
Ealing, 6.00 ,9,26655,7.45
East Riding of Yorkshire, 2.40 ,24,18427,7.44
Enfield, 5.80 ,8,21444,7.42
Gateshead, 4.20 ,55,15112,7.22
Greenwich, 5.00 ,41,21802,7.24
Hackney, 5.60 ,28,20175,7.08
Halton, 4.10 ,26,15396,7.13
Hammersmith and Fulham, 4.70 ,26,55552,7.17
Haringey, 6.90 ,26,27179,7.28
Harrow, 3.60 ,21,23928,7.01
Hartlepool, 5.20 ,47,15071,7.39
Havering, 3.80 ,14,20095,7.13
Herefordshire. County of, 2.20 ,19,19089,7.49
Hillingdon, 3.90 ,38,23439,7.25
Hounslow, 5.30 ,37,30230,7.4
Isle of Wight, 3.50 ,13,16781,7.59
Islington, 4.40 ,27,29371,7.04
Kensington and Chelsea, 3.30 ,23,62600,7.56
Kingston upon Hull. City of, 5.90 ,7,13380,7.22
Kingston upon Thames, 2.40 ,28,26947,7.5
Kirklees, 4.10 ,9,16107,7.25
Knowsley, 5.00 ,43,15317,7.1
Lambeth, 5.20 ,49,24965,7.21
Leeds, 4.30 ,5,16814,7.33
Leicester, 4.80 ,7,12848,7.35
Lewisham, 5.70 ,62,22139,7.3
Liverpool, 5.40 ,26,14538,6.96
Luton, 5.60 ,40,14889,7.31
Manchester, 5.70 ,19,13184,7.18
Medway, 3.80 ,24,17884,7.3
Merton, 4.10 ,24,27213,7.77
Middlesbrough, 6.30 ,30,14968,7.3
Milton Keynes, 3.80 ,20,20039,7.32
Newcastle upon Tyne, 4.40 ,23,16180,7.24
Newham, 6.40 ,19,18537,7.43
North East Lincolnshire, 4.30 ,14,15039,7.3
North Lincolnshire, 3.40 ,17,14953,7.54
North Somerset, 2.30 ,18,19982,7.44
North Tyneside, 3.40 ,23,15370,7.31
Nottingham, 5.00 ,8,12232,7.23
Oldham, 6.50 ,12,15023,7.12
Peterborough, 5.10 ,16,16563,7.31
Plymouth, 3.30 ,33,15147,7.32
Portsmouth, 4.30 ,39,15066,7.44
Reading, 4.10 ,22,24114,7.44
Redbridge, 4.80 ,14,20933,7.33
Redcar and Cleveland, 4.10 ,32,14529,7.35
Richmond upon Thames, 2.40 ,14,33258,7.43
Rochdale, 5.90 ,15,15255,7.26
Rotherham, 4.30 ,15,15465,7.28
Rutland, 1.40 ,3,18254,7.55
Salford, 5.30 ,10,18564,7.22
Sandwell, 6.60 ,34,13164,7.36
Sefton, 3.90 ,22,17672,7.28
Sheffield, 3.80 ,14,15057,7.27
Shropshire, 2.40 ,19,18856,7.54
Slough, 5.10 ,15,22953,7.13
Solihull, 3.20 ,28,21927,7.45
South Gloucestershire, 1.70 ,18,21136,7.44
South Tyneside, 5.50 ,93,14892,7.13
Southwark, 4.90 ,70,23284,7.34
St. Helens, 4.10 ,12,15305,7.1
Stockport, 3.30 ,8,17833,7.49
Stockton-on-Tees, 4.00 ,40,15395,7.48
Stoke-on-Trent, 5.40 ,38,14075,7.15
Sutton, 2.80 ,22,24968,7.35
Swindon, 3.20 ,10,18536,7.35
Tameside, 4.70 ,13,17208,7.26
Telford and Wrekin, 3.60 ,43,16291,7.26
Thurrock, 3.70 ,22,17507,7.3
Torbay, 3.30 ,12,23227,7.36
Tower Hamlets, 5.10 ,15,19021,7.37
Trafford, 3.00 ,8,15955,7.45
Wakefield, 3.40 ,8,13791,7.31
Walsall, 5.50 ,25,21595,7.47
Waltham Forest, 5.70 ,21,37288,7.24
Wandsworth, 3.30 ,26,19377,7.36
Warrington, 2.60 ,25,22997,7.44
West Berkshire, 2.20 ,20,50910,7.51
Westminster, 3.30 ,22,15431,7.21
Wigan, 3.80 ,12,20292,7.35
Wiltshire, 2.10 ,13,24446,7.5
Windsor and Maidenhead, 2.30 ,9,17362,7.47
Wirral, 3.70 ,6,28064,7.21
Wokingham, 1.70 ,15,23795,7.57
Wolverhampton, 7.40 ,24,13926,6.99
York, 1.70 ,7,18070,7.31